2024-03-25-02:19:16, Preliminaries complete. Initiating ETL process
2024-03-25-02:19:18, Data extraction complete. Initiating Transformation process
2024-03-25-02:19:18, Data transformation complete. Initiating loading process
2024-03-25-02:19:18, Data saved to CSV file
2024-03-25-02:19:18, Data saved to JSON file
2024-03-25-02:19:18, SQL Connection initiated.
2024-03-25-02:19:19, Data loaded to Database as table. Running the query
2024-03-25-02:19:19, First query statement was executed.
2024-03-25-02:19:19, Second query statement was executed.
2024-03-25-02:19:19, Process Complete.
2024-03-25-02:19:19, Server connection closed.
